,steps
0,30
1,14
2,30
3,14
4,30
5,7
6,14
7,30
8,12
9,30
10,24
11,16
12,30
13,21
14,25
15,30
16,30
17,30
18,30
19,15
20,30
21,29
22,20
23,30
24,30
25,9
26,20
27,30
28,30
29,19
30,30
31,15
32,30
33,27
34,30
35,30
36,30
37,30
38,12
39,30
40,30
41,20
42,30
43,13
44,15
45,30
46,30
47,30
48,30
49,30
50,6
51,13
52,30
53,30
54,10
55,23
56,17
57,30
58,30
59,30
60,30
61,30
62,13
63,16
64,8
65,30
66,19
67,28
68,30
69,30
70,27
71,29
72,30
73,30
74,30
75,30
76,24
77,30
78,30
79,30
80,30
81,11
82,30
83,30
84,11
85,30
86,7
87,30
88,12
89,30
90,21
91,30
92,30
93,30
94,5
95,6
96,30
97,27
98,16
99,24
100,30
