,steps
0,10
1,4
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,8
10,10
11,10
12,10
13,10
14,10
15,7
16,10
17,8
18,10
19,10
20,6
21,10
22,10
23,10
24,6
25,9
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,9
42,10
43,10
44,7
45,8
46,10
47,10
48,4
49,10
50,10
51,10
52,10
53,7
54,10
55,10
56,6
57,9
58,10
59,9
60,9
61,7
62,10
63,10
64,10
65,10
66,10
67,10
68,10
69,10
70,10
71,7
72,10
73,9
74,10
75,9
76,8
77,10
78,10
79,10
80,4
81,10
82,7
83,10
84,6
85,7
86,10
87,10
88,10
89,8
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,6
99,8
100,10
101,8
102,10
103,10
104,9
105,10
106,10
107,10
108,8
109,9
110,10
111,10
112,10
113,10
114,6
115,9
116,10
117,10
118,10
119,10
120,10
121,10
122,5
123,9
124,10
125,10
126,10
127,10
128,10
129,8
130,9
131,10
132,10
133,10
134,10
135,9
136,10
137,10
138,7
139,10
140,4
141,10
142,10
143,10
144,10
145,7
146,9
147,10
148,6
149,9
150,4
151,10
152,10
153,4
154,10
155,10
156,10
157,10
158,10
159,10
160,6
161,9
162,10
163,10
164,6
165,8
166,9
167,10
168,8
169,10
170,6
171,10
172,10
173,6
174,10
175,5
176,10
177,10
178,10
179,10
180,10
181,10
182,10
183,8
184,10
185,5
186,10
187,7
188,10
189,4
190,10
191,5
192,10
193,9
194,9
195,7
196,7
197,6
198,4
199,10
200,10
