,steps
0,7
1,10
2,8
3,9
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,6
16,10
17,10
18,6
19,10
20,4
21,10
22,5
23,10
24,10
25,10
26,10
27,10
28,7
29,10
30,10
31,10
32,10
33,9
34,10
35,10
36,10
37,10
38,9
39,10
40,10
41,10
42,10
43,7
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,10
59,10
60,10
61,9
62,10
63,10
64,10
65,4
66,10
67,10
68,8
69,10
70,10
71,10
72,10
73,9
74,10
75,10
76,10
77,10
78,6
79,10
80,10
81,5
82,10
83,10
84,5
85,10
86,10
87,4
88,10
89,5
90,10
91,10
92,10
93,8
94,10
95,10
96,10
97,10
98,10
99,10
100,4
101,10
102,10
103,4
104,4
105,6
106,5
107,10
108,10
109,9
110,6
111,10
112,10
113,9
114,10
115,10
116,10
117,5
118,6
119,10
120,10
121,10
122,10
123,10
124,10
125,10
126,6
127,10
128,10
129,9
130,10
131,10
132,10
133,10
134,9
135,10
136,8
137,10
138,8
139,10
140,10
141,10
142,4
143,10
144,5
145,10
146,10
147,8
148,10
149,9
150,10
151,9
152,10
153,5
154,10
155,10
156,10
157,10
158,4
159,10
160,8
161,10
162,10
163,10
164,5
165,10
166,10
167,10
168,8
169,9
170,4
171,6
172,5
173,10
174,7
175,6
176,8
177,10
178,7
179,9
180,4
181,10
182,10
183,10
184,10
185,8
186,10
187,10
188,10
189,10
190,10
191,6
192,9
193,10
194,6
195,9
196,9
197,10
198,7
199,6
200,6
