,steps
0,6
1,4
2,20
3,11
4,20
5,20
6,20
7,17
8,20
9,16
10,14
11,20
12,10
13,9
14,18
15,20
16,11
17,12
18,20
19,16
20,20
21,7
22,7
23,14
24,15
25,12
26,4
27,9
28,20
29,20
30,16
31,7
32,17
33,14
34,16
35,16
36,6
37,20
38,10
39,12
40,6
41,12
42,4
43,9
44,20
45,20
46,19
47,9
48,20
49,6
50,20
51,18
52,6
53,17
54,13
55,5
56,20
57,16
58,16
59,5
60,12
61,12
62,6
63,12
64,20
65,8
66,9
67,20
68,9
69,8
70,20
71,20
72,5
73,11
74,20
75,9
76,11
77,6
78,10
79,11
80,14
81,9
82,15
83,10
84,10
85,20
86,20
87,20
88,20
89,4
90,12
91,14
92,9
93,11
94,20
95,12
96,11
97,6
98,20
99,20
100,11
101,20
102,9
103,8
104,20
105,14
106,9
107,6
108,7
109,10
110,19
111,20
112,5
113,20
114,11
115,20
116,12
117,20
118,20
119,20
120,15
121,20
122,12
123,20
124,20
125,8
126,10
127,5
128,20
129,20
130,20
131,20
132,8
133,6
134,20
135,20
136,20
137,15
138,15
139,5
140,13
141,5
142,12
143,5
144,20
145,15
146,6
147,7
148,4
149,19
150,8
151,20
152,10
153,9
154,5
155,15
156,16
157,15
158,20
159,14
160,9
161,5
162,9
163,16
164,6
165,9
166,15
167,5
168,10
169,15
170,20
171,8
172,20
173,14
174,8
175,19
176,4
177,20
178,7
179,10
180,7
181,18
182,12
183,20
184,17
185,20
186,20
187,11
188,20
189,5
190,16
191,4
192,5
193,4
194,5
195,9
196,19
197,7
198,6
199,17
200,9
