,score
0,-114.0
1,-16.0
2,52.0
3,10.0
4,-126.0
5,-100.0
6,-117.0
7,-122.0
8,41.0
9,-99.0
10,-107.0
11,-132.0
12,-128.0
13,-117.0
14,-96.0
15,48.0
16,-122.0
17,-1.0
18,28.0
19,-126.0
20,-130.0
21,-112.0
22,33.0
23,-111.0
24,-132.0
25,-128.0
26,-110.0
27,-127.0
28,-10.0
29,-125.0
30,22.0
31,34.0
32,-101.0
33,16.0
34,-124.0
35,-131.0
36,-3.0
37,53.0
38,21.0
39,-117.0
40,25.0
41,-119.0
42,36.0
43,-123.0
44,30.0
45,-107.0
46,12.0
47,4.0
48,-121.0
49,30.0
50,9.0
51,-125.0
52,28.0
53,45.0
54,-123.0
55,-119.0
56,-121.0
57,5.0
58,-116.0
59,-105.0
60,-125.0
61,-114.0
62,-119.0
63,-124.0
64,-130.0
65,61.0
66,-109.0
67,-126.0
68,-117.0
69,-115.0
70,-117.0
71,-1.0
72,-118.0
73,-111.0
74,19.0
75,40.0
76,-135.0
77,-132.0
78,18.0
79,-112.0
80,24.0
81,25.0
82,26.0
83,-117.0
84,25.0
85,30.0
86,-2.0
87,-9.0
88,-2.0
89,-114.0
90,-107.0
91,-124.0
92,8.0
93,11.0
94,-114.0
95,-116.0
96,-126.0
97,-121.0
98,41.0
99,-117.0
100,-113.0
101,-110.0
102,48.0
103,-122.0
104,-1.0
105,28.0
106,-126.0
107,-119.0
108,-111.0
109,-132.0
110,-111.0
111,45.0
112,-111.0
113,-134.0
114,-112.0
115,29.0
116,-108.0
117,-109.0
118,-98.0
119,-115.0
120,-105.0
121,-124.0
122,-103.0
123,-128.0
124,49.0
125,7.0
126,-5.0
127,-97.0
128,-119.0
129,-9.0
130,-100.0
131,-119.0
132,16.0
133,-132.0
134,-112.0
135,-130.0
136,-112.0
137,-130.0
138,-112.0
139,-130.0
140,-112.0
141,-130.0
142,-110.0
143,-121.0
144,9.0
145,-122.0
146,-129.0
147,-113.0
148,64.0
149,-120.0
150,-111.0
151,-123.0
152,-125.0
153,50.0
154,-114.0
155,-107.0
156,-124.0
157,-133.0
158,41.0
159,61.0
160,24.0
161,45.0
162,-129.0
163,-134.0
164,-123.0
165,37.0
166,-111.0
167,-114.0
168,33.0
169,-104.0
170,-108.0
171,16.0
172,-117.0
173,-116.0
174,22.0
175,-129.0
176,1.0
177,53.0
178,3.0
179,-111.0
180,20.0
181,-100.0
182,-95.0
183,51.0
184,-132.0
185,-97.0
186,-101.0
187,5.0
188,43.0
189,12.0
190,-115.0
191,11.0
192,-4.0
193,-116.0
194,48.0
195,-125.0
196,-109.0
197,-129.0
198,-105.0
199,28.0
200,-122.0
