,score
0,33.0
1,-111.0
2,19.0
3,6.0
4,-9.0
5,-118.0
6,-109.0
7,-95.0
8,-115.0
9,-116.0
10,-119.0
11,-123.0
12,-110.0
13,-101.0
14,-111.0
15,47.0
16,-114.0
17,-112.0
18,41.0
19,-113.0
20,65.0
21,-136.0
22,58.0
23,-124.0
24,-12.0
25,-134.0
26,-124.0
27,-103.0
28,28.0
29,-129.0
30,-135.0
31,-130.0
32,-110.0
33,6.0
34,-101.0
35,-115.0
36,-109.0
37,-120.0
38,-5.0
39,-108.0
40,-111.0
41,-129.0
42,-116.0
43,23.0
44,-3.0
45,-114.0
46,-121.0
47,-115.0
48,-5.0
49,-10.0
50,-118.0
51,-109.0
52,-95.0
53,-115.0
54,-116.0
55,-119.0
56,-123.0
57,-113.0
58,-126.0
59,-134.0
60,-9.0
61,-7.0
62,-126.0
63,-108.0
64,-120.0
65,61.0
66,-113.0
67,-108.0
68,26.0
69,-109.0
70,-119.0
71,-114.0
72,-123.0
73,7.0
74,-125.0
75,-124.0
76,-145.0
77,-108.0
78,40.0
79,-134.0
80,-138.0
81,54.0
82,-118.0
83,-120.0
84,57.0
85,-108.0
86,-116.0
87,65.0
88,-136.0
89,58.0
90,-124.0
91,-12.0
92,-140.0
93,13.0
94,-116.0
95,-112.0
96,-126.0
97,-123.0
98,-92.0
99,-122.0
100,68.0
101,-122.0
102,-88.0
103,67.0
104,68.0
105,44.0
106,54.0
107,-124.0
108,-119.0
109,9.0
110,45.0
111,-119.0
112,-122.0
113,0.0
114,-109.0
115,-124.0
116,-102.0
117,55.0
118,34.0
119,-124.0
120,-112.0
121,-127.0
122,-104.0
123,-113.0
124,-110.0
125,-104.0
126,38.0
127,-119.0
128,-100.0
129,7.0
130,-107.0
131,3.0
132,-115.0
133,-123.0
134,-10.0
135,-118.0
136,20.0
137,-116.0
138,28.0
139,-113.0
140,-109.0
141,-124.0
142,63.0
143,-105.0
144,49.0
145,-136.0
146,-103.0
147,23.0
148,-118.0
149,17.0
150,-123.0
151,8.0
152,-122.0
153,57.0
154,-127.0
155,-123.0
156,-104.0
157,5.0
158,70.0
159,-94.0
160,23.0
161,-133.0
162,-112.0
163,-116.0
164,48.0
165,-116.0
166,-122.0
167,-116.0
168,18.0
169,5.0
170,68.0
171,44.0
172,54.0
173,-124.0
174,36.0
175,38.0
176,20.0
177,-110.0
178,35.0
179,12.0
180,61.0
181,-108.0
182,-118.0
183,-23.0
184,-110.0
185,32.0
186,-117.0
187,-107.0
188,-123.0
189,-107.0
190,-10.0
191,46.0
192,-2.0
193,-110.0
194,35.0
195,-2.0
196,13.0
197,-121.0
198,29.0
199,44.0
200,44.0
