,score
0,43.0
1,68.0
2,-96.0
3,-26.0
4,-245.0
5,-209.0
6,-245.0
7,-96.0
8,-206.0
9,-83.0
10,-46.0
11,-225.0
12,-9.0
13,2.0
14,-112.0
15,-221.0
16,-33.0
17,-30.0
18,-255.0
19,-83.0
20,-211.0
21,24.0
22,38.0
23,-71.0
24,-74.0
25,-27.0
26,67.0
27,17.0
28,-187.0
29,-221.0
30,-44.0
31,22.0
32,-97.0
33,-30.0
34,-64.0
35,-80.0
36,47.0
37,-208.0
38,-9.0
39,-17.0
40,45.0
41,-22.0
42,67.0
43,17.0
44,-187.0
45,-221.0
46,-65.0
47,18.0
48,-252.0
49,39.0
50,-208.0
51,-102.0
52,44.0
53,-85.0
54,-15.0
55,56.0
56,-212.0
57,-83.0
58,-76.0
59,53.0
60,-27.0
61,-19.0
62,42.0
63,-12.0
64,-230.0
65,13.0
66,11.0
67,-238.0
68,7.0
69,3.0
70,-227.0
71,-238.0
72,53.0
73,-24.0
74,-117.0
75,12.0
76,-3.0
77,40.0
78,-12.0
79,-2.0
80,-39.0
81,13.0
82,-68.0
83,-17.0
84,-14.0
85,-216.0
86,-183.0
87,-226.0
88,-98.0
89,69.0
90,-12.0
91,-42.0
92,13.0
93,-31.0
94,-212.0
95,-27.0
96,-13.0
97,37.0
98,-218.0
99,-140.0
100,-24.0
101,-222.0
102,-1.0
103,30.0
104,-237.0
105,-46.0
106,2.0
107,41.0
108,28.0
109,15.0
110,-100.0
111,-213.0
112,53.0
113,-249.0
114,-13.0
115,-204.0
116,-27.0
117,-250.0
118,-239.0
119,-120.0
120,-54.0
121,-215.0
122,-40.0
123,-229.0
124,-78.0
125,34.0
126,-10.0
127,49.0
128,-201.0
129,-202.0
130,-249.0
131,-197.0
132,14.0
133,38.0
134,-231.0
135,-209.0
136,-211.0
137,-42.0
138,-63.0
139,54.0
140,-47.0
141,57.0
142,-15.0
143,56.0
144,-239.0
145,-60.0
146,47.0
147,23.0
148,60.0
149,-92.0
150,25.0
151,-204.0
152,6.0
153,-7.0
154,53.0
155,-66.0
156,-59.0
157,-65.0
158,-219.0
159,-55.0
160,-5.0
161,57.0
162,20.0
163,-75.0
164,43.0
165,9.0
166,-67.0
167,49.0
168,-3.0
169,-51.0
170,-216.0
171,20.0
172,-227.0
173,-62.0
174,30.0
175,-113.0
176,62.0
177,-211.0
178,36.0
179,-20.0
180,34.0
181,-94.0
182,-15.0
183,-210.0
184,-68.0
185,-237.0
186,-135.0
187,-14.0
188,-210.0
189,55.0
190,-58.0
191,64.0
192,50.0
193,62.0
194,54.0
195,14.0
196,-88.0
197,26.0
198,46.0
199,-99.0
200,-1.0
