,score
0,-129.0
1,64.0
2,-99.0
3,-1.0
4,-123.0
5,14.0
6,-111.0
7,-110.0
8,-133.0
9,25.0
10,-115.0
11,-130.0
12,-121.0
13,-114.0
14,-101.0
15,34.0
16,-120.0
17,12.0
18,-109.0
19,-134.0
20,38.0
21,-121.0
22,-128.0
23,-120.0
24,47.0
25,-3.0
26,2.0
27,2.0
28,-113.0
29,-3.0
30,-122.0
31,-126.0
32,-117.0
33,-125.0
34,-127.0
35,-1.0
36,-105.0
37,5.0
38,-94.0
39,-118.0
40,-119.0
41,17.0
42,-131.0
43,-108.0
44,22.0
45,15.0
46,-123.0
47,-115.0
48,66.0
49,-121.0
50,-110.0
51,-103.0
52,-120.0
53,22.0
54,-116.0
55,-113.0
56,44.0
57,-3.0
58,-109.0
59,-4.0
60,-1.0
61,26.0
62,-112.0
63,-99.0
64,-115.0
65,-125.0
66,-135.0
67,-131.0
68,-16.0
69,-115.0
70,-138.0
71,30.0
72,-116.0
73,17.0
74,-131.0
75,9.0
76,18.0
77,-109.0
78,-109.0
79,-6.0
80,71.0
81,-117.0
82,35.0
83,-116.0
84,35.0
85,32.0
86,-124.0
87,-121.0
88,-114.0
89,24.0
90,-111.0
91,-125.0
92,-105.0
93,-121.0
94,-111.0
95,-133.0
96,-139.0
97,-130.0
98,44.0
99,17.0
100,-123.0
101,16.0
102,-112.0
103,-116.0
104,14.0
105,-115.0
106,-129.0
107,-118.0
108,10.0
109,-1.0
110,-125.0
111,-124.0
112,-132.0
113,-128.0
114,45.0
115,8.0
116,-122.0
117,-112.0
118,-137.0
119,-133.0
120,-120.0
121,-112.0
122,60.0
123,20.0
124,-123.0
125,-113.0
126,-127.0
127,-98.0
128,-15.0
129,22.0
130,0.0
131,-119.0
132,-113.0
133,-133.0
134,-102.0
135,-1.0
136,-118.0
137,-2.0
138,31.0
139,-116.0
140,65.0
141,-136.0
142,-125.0
143,-112.0
144,-116.0
145,35.0
146,1.0
147,-6.0
148,45.0
149,7.0
150,64.0
151,-129.0
152,-119.0
153,66.0
154,-128.0
155,-120.0
156,-127.0
157,-108.0
158,-101.0
159,-110.0
160,34.0
161,9.0
162,-128.0
163,-114.0
164,38.0
165,6.0
166,11.0
167,-113.0
168,20.0
169,-114.0
170,36.0
171,-136.0
172,-114.0
173,34.0
174,-120.0
175,53.0
176,-130.0
177,-126.0
178,-113.0
179,-121.0
180,-107.0
181,-119.0
182,-107.0
183,27.0
184,-114.0
185,47.0
186,-121.0
187,23.0
188,-116.0
189,68.0
190,-126.0
191,50.0
192,-102.0
193,-7.0
194,-1.0
195,26.0
196,29.0
197,31.0
198,63.0
199,-10.0
200,-3.0
